revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
83.53,20,1,31,745,1,0,0,0,0,4,1
29.99,0,0,52,1441,0,0,0,1,1,3,1
51.42,0,0,36,59,1,0,0,0,0,4,1
37.75,2.67,0,25,572,0,0,0,1,1,3,1
5,0,0,26,785,1,0,0,0,1,3,1
42.71,8.67,0,27,224,1,0,0,0,0,3,1
33.66,8.33,0,31,933,1,0,0,0,0,2,1
52.56,80,31.67,33,402,1,0,0,0,1,3,1
98.47,24.67,3.33,35,13,0,0,1,1,1,3,1
7.82,0,0,24,561,0,0,0,0,0,2,1
25.14,15,1,25,743,1,0,0,0,0,2,1
131.09,76.67,7,25,740,1,1,0,0,1,2,1
10,0,0,54,1636,0,1,0,0,1,1,1
5,0,0,53,1584,0,1,1,1,1,1,1
30.69,1.33,0,25,709,1,0,0,0,1,2,1
36.16,59.67,13,25,733,1,1,0,0,1,2,1
40.07,3.67,0,42,1278,0,0,0,0,0,1,1
51.22,1,0.33,44,1346,0,1,0,0,1,1,1
37.49,8,0.33,40,1209,0,0,0,0,0,1,1
84.92,67,0.33,15,451,1,1,0,0,1,2,1
12.21,0,0,35,540,0,1,0,0,1,2,1
170.92,35,0.33,10,302,1,1,0,0,1,2,1
199,88.67,40,19,368,1,0,0,0,0,2,1
16.14,0,0,44,1324,0,0,0,0,1,1,1
150,1.67,1,11,295,1,0,0,1,1,2,1
113.78,14,0,12,341,1,0,0,0,1,2,1
71.38,0.33,0,27,345,0,1,0,0,1,2,1
89.58,18.67,12,14,417,1,0,0,0,1,2,1
37.49,18,33.67,32,718,1,1,0,0,1,2,1
121.87,26.33,6.67,11,314,1,1,0,0,1,2,1
15.33,3,1.67,41,1242,0,1,1,0,1,1,1
30.54,1,0,40,1205,0,1,0,0,1,1,1
80.94,87.67,46.67,13,386,1,0,0,0,0,2,1
393.09,141.33,60,14,95,1,0,0,0,0,2,1
75.18,40,16,34,1030,0,0,0,0,0,1,1
200.17,51.67,17,26,805,0,1,0,0,0,1,1
70.85,111.33,1,8,189,1,0,0,0,0,2,1
22.76,0.33,0,39,1179,0,0,0,1,1,1,1
31.53,2.67,0,39,1165,0,0,0,0,1,1,1
29.39,7.67,3,13,377,1,0,0,0,1,2,1
28.87,0.33,0,6,184,1,1,0,0,0,2,1
22.74,16,7.33,13,386,1,0,0,0,1,2,1
23.12,7,0.33,38,1144,0,0,0,0,1,1,1
5,0,0,43,1301,1,0,0,0,0,1,1
20.07,0,0,38,1142,0,1,0,0,1,1,1
