,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,split
0, 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0,-0.6347198877141509
1, 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0,0.2724437938905067
2, 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0,-0.641699779891908
3, 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5,-0.23231338163603382
4, 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0,1.1391978321952125
5, 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0,0.7984711833135092
6, 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0,1.9596267855120122
7, 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5,-0.39736262876712297
8, 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0,0.24069527687652167
9, 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0,0.8974657497568667
11, 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0,-1.2855848612747156
12, X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0,1.6207453943377264
13, 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0,-2.6614909758751835
14, X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0,1.7712854476377493
15, 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0,-0.17601320984441113
16, 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0,0.8710365332926919
18, 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5,-1.3465902413967277
19, 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0,0.5659532083246631
20, 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0,0.7615558697437045
21, 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0,0.42195237863676727
22, 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0,0.8777115800661001
23, 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5,0.44691695638113654
25, 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5,0.2111097994775107
28, X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0,-1.7270314818461288
29, X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0,-0.49471734407018797
30, 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0,-1.777562150988722
32, i3,2016,17100,Automatic,25269,Other,0,470.8,0.6,-1.750126080045347
33, 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0,0.05730639859763085
34, 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5,-1.2953152336131193
36, 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0,-0.29461398782121573
37, 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0,0.27071246085863643
38, X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0,-0.7447302460052904
40, 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0,-0.153320500273073
41, 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5,-0.23040965180827733
42, X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0,-1.5311491980620318
43, 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5,-1.067563207908085
44, 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0,-0.33762548621167554
45, X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0,-0.04522749899312145
46, X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0,-0.4649247263232104
48, 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5,0.87368825650718
